NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
60,0,0,4,3000000,0.810624,0.000000,2.684564,4.148871,7.999458
61,0,0,4,3000000,0.881704,0.000000,2.982849,5.369128,7.981135
62,0,0,8,3000000,0.765413,0.000000,2.684564,4.342677,7.854835
63,0,0,8,3000000,0.815919,0.000000,2.982849,5.219985,8.309364
65,0,0,12,3000000,0.909750,0.000000,2.982849,7.494407,8.501119
66,0,0,12,3000000,0.975322,0.000000,3.579418,7.925855,8.422161
67,1,0,4,3000000,26.293132,22.371365,59.955257,78.299776,81.655481
69,1,0,4,3000000,24.109837,18.791946,54.586130,71.588367,77.181208
70,1,0,8,3000000,27.505284,24.161074,59.955257,73.825503,80.536913
71,1,0,8,3000000,27.916131,23.266219,59.955257,70.469799,81.655481
73,2,0,4,3000000,0.808795,0.000000,2.684564,4.003297,7.829978
74,2,0,4,3000000,0.782281,0.745712,2.237136,4.148871,6.711409
76,2,0,8,3000000,0.888468,0.000000,2.684564,7.031000,8.053691
77,2,0,8,3000000,0.823074,0.000000,2.684564,4.474273,8.273184
78,2,0,12,3000000,1.182843,0.894855,4.058061,4.474273,7.481571
79,2,0,12,3000000,1.235260,0.894855,4.234580,5.369128,8.408547
